,X,TEMP: Step-1,TEMP: Step-2,TEMP: Step-3,TEMP: Step-4,TEMP: Step-5,TEMP: Step-6,TEMP: Step-7,TEMP: Step-8,TEMP: Step-9,TEMP: Step-10,TEMP: Step-11,TEMP: Step-12,TEMP: Step-13,TEMP: Step-14,TEMP: Step-15,TEMP: Step-16,TEMP: Step-17,TEMP: Step-18,TEMP: Step-19,TEMP: Step-20,TEMP: Step-21,TEMP: Step-22,TEMP: Step-23,TEMP: Step-24,TEMP: Step-25,TEMP: Step-26,TEMP: Step-27,TEMP: Step-28
58,0.646799,12,12,12,12,12,12.0004,12.0017,12.0058,12.0149,12.0322,12.0609,12.1039,12.1638,12.2427,12.3421,12.4627,12.6051,12.7693,12.955,13.1614,13.3874,13.6315,13.8919,14.1664,14.4528,14.5502,14.6487,14.748
59,0.667833,12,12,12,12,12,12.0002,12.001,12.0035,12.0094,12.0211,12.0412,12.0723,12.1166,12.1763,12.2529,12.3476,12.461,12.5935,12.7452,12.9157,13.1042,13.3099,13.5314,13.767,14.015,14.0998,14.1856,14.2726
60,0.689808,12,12,12,12,12,12.0001,12.0006,12.0021,12.0058,12.0135,12.0272,12.0491,12.0812,12.1255,12.1834,12.2563,12.345,12.4502,12.5721,12.7107,12.8658,13.0367,13.2224,13.422,13.6339,13.7067,13.7807,13.8558
61,0.712766,12,12,12,12,12,12.0001,12.0003,12.0012,12.0035,12.0084,12.0175,12.0325,12.0552,12.0873,12.1302,12.1852,12.2533,12.3353,12.4316,12.5425,12.668,12.8078,12.9614,13.128,13.3066,13.3682,13.4311,13.4951
62,0.73675,12,12,12,12,12,12,12.0002,12.0007,12.002,12.0051,12.011,12.021,12.0366,12.0593,12.0903,12.131,12.1822,12.2449,12.3196,12.4068,12.5067,12.6192,12.7441,12.881,13.0293,13.0808,13.1334,13.1871
63,0.761806,12,12,12,12,12,12,12.0001,12.0003,12.0011,12.003,12.0067,12.0132,12.0237,12.0393,12.0612,12.0905,12.1282,12.1752,12.232,12.2992,12.3773,12.4662,12.5662,12.6769,12.798,12.8402,12.8836,12.928
64,0.787983,12,12,12,12,12,12,12,12.0002,12.0006,12.0017,12.0039,12.008,12.0148,12.0253,12.0404,12.0611,12.0882,12.1225,12.1648,12.2156,12.2754,12.3444,12.4229,12.5109,12.6081,12.6422,12.6773,12.7135
65,0.81533,12,12,12,12,12,12,12,12.0001,12.0003,12.0009,12.0022,12.0047,12.009,12.0159,12.026,12.0401,12.0591,12.0836,12.1144,12.152,12.1968,12.2493,12.3098,12.3783,12.4549,12.482,12.5099,12.5388
66,0.8439,12,12,12,12,12,12,12,12,12.0002,12.0005,12.0012,12.0027,12.0053,12.0096,12.0162,12.0256,12.0386,12.0557,12.0775,12.1046,12.1375,12.1766,12.2221,12.2744,12.3336,12.3547,12.3765,12.3991
67,0.873747,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0006,12.0015,12.003,12.0057,12.0098,12.0159,12.0245,12.036,12.0511,12.0702,12.0937,12.1221,12.1557,12.1948,12.2396,12.2556,12.2723,12.2896
68,0.904928,12,12,12,12,12,12,12,12,12,12.0001,12.0003,12.0008,12.0017,12.0032,12.0057,12.0095,12.015,12.0227,12.0328,12.0459,12.0623,12.0824,12.1065,12.135,12.1681,12.1801,12.1925,12.2055
69,0.937504,12,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0004,12.0009,12.0018,12.0032,12.0055,12.009,12.0138,12.0204,12.0291,12.0402,12.0541,12.071,12.0913,12.1152,12.1238,12.1329,12.1425
70,0.971536,12,12,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0004,12.0009,12.0018,12.0031,12.0052,12.0081,12.0123,12.0179,12.0252,12.0345,12.046,12.0601,12.0768,12.083,12.0894,12.0962
71,1.00709,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0005,12.0009,12.0017,12.0029,12.0046,12.0072,12.0106,12.0153,12.0213,12.0289,12.0384,12.0498,12.0541,12.0585,12.0633
72,1.04423,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0005,12.0009,12.0015,12.0025,12.004,12.0061,12.009,12.0128,12.0176,12.0238,12.0314,12.0342,12.0372,12.0404
73,1.08304,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0004,12.0008,12.0013,12.0022,12.0034,12.0051,12.0074,12.0104,12.0143,12.0191,12.0209,12.0229,12.025
74,1.12358,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0004,12.0007,12.0011,12.0018,12.0028,12.0041,12.0059,12.0082,12.0113,12.0124,12.0136,12.015
75,1.16593,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0002,12.0003,12.0006,12.0009,12.0014,12.0022,12.0032,12.0046,12.0064,12.0071,12.0078,12.0086
76,1.21017,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0001,12.0003,12.0004,12.0007,12.0011,12.0017,12.0025,12.0035,12.0039,12.0043,12.0048
77,1.2564,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0001,12.0002,12.0003,12.0005,12.0008,12.0013,12.0018,12.002,12.0023,12.0026
78,1.30469,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0001,12.0002,12.0003,12.0004,12.0006,12.0009,12.001,12.0012,12.0013
79,1.35514,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0001,12.0002,12.0003,12.0004,12.0005,12.0006,12.0006
80,1.40784,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0001,12.0002,12.0002,12.0003,12.0003
81,1.4629,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001,12.0001,12.0001,12.0001,12.0001
82,1.52043,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0001
83,1.58052,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
84,1.6433,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
85,1.70889,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
86,1.77742,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
87,1.849,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
88,1.92379,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
89,2.00192,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
90,2.08354,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
91,2.16881,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
92,2.2579,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
93,2.35097,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
94,2.44819,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
95,2.54977,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
96,2.65589,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
97,2.76675,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
98,2.88257,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
99,3.00357,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
100,3.12998,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
101,3.26204,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
102,3.4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
